episode_id,entry_anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,entry_event_family,entry_signal_bar_open_utc,entry_decision_available_utc,entry_execution_bar_open_utc,entry_price,execution_status,research_scope,episode_end_utc,symbol
OPT-LONG-7aa7e9c3bfa998a7,GME-PR-0014,O:GME250502C00026500,CALL,26.5,2025-05-02,14,0.0,DISCOVERY,CONTINUATION,2025-04-17T13:30:00+00:00,2025-04-17T13:45:00+00:00,2025-04-17T13:45:00+00:00,1.8,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-05-02T23:59:59.999999+00:00,GME
OPT-LONG-872a11acb95933bc,GME-PR-0014,O:GME250516C00026000,CALL,26.0,2025-05-16,30,0.0,DISCOVERY,CONTINUATION,2025-04-17T13:30:00+00:00,2025-04-17T13:45:00+00:00,2025-04-17T13:45:00+00:00,2.61,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-05-08T13:45:00+00:00,GME
OPT-LONG-6654d45efb51b322,GME-PR-0014,O:GME250516P00026000,PUT,26.0,2025-05-16,30,0.0,DISCOVERY,CONTINUATION,2025-04-17T13:30:00+00:00,2025-04-17T13:45:00+00:00,2025-04-17T13:45:00+00:00,1.94,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-05-08T13:45:00+00:00,GME
OPT-LONG-f97fb7798c1eb6ae,GME-PR-0015,O:GME250523C00026500,CALL,26.5,2025-05-23,14,0.0,DISCOVERY,ENTRY_FORMING,2025-05-08T13:30:00+00:00,2025-05-08T13:45:00+00:00,2025-05-08T13:45:00+00:00,1.13,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-05-23T23:59:59.999999+00:00,GME
OPT-LONG-8260359627a68d98,GME-PR-0015,O:GME250523P00026500,PUT,26.5,2025-05-23,14,0.0,DISCOVERY,ENTRY_FORMING,2025-05-08T13:30:00+00:00,2025-05-08T13:45:00+00:00,2025-05-08T13:45:00+00:00,1.15,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-05-23T23:59:59.999999+00:00,GME
OPT-LONG-ad56a1ebda549b85,GME-PR-0016,O:GME250613C00033500,CALL,33.5,2025-06-13,14,0.0,DISCOVERY,CONTINUATION,2025-05-27T13:45:00+00:00,2025-05-27T14:00:00+00:00,2025-05-27T14:00:00+00:00,4.35,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-06-13T23:59:59.999999+00:00,GME
OPT-LONG-64d1c153dc0325a3,GME-PR-0016,O:GME250627C00034000,CALL,34.0,2025-06-27,30,0.0,DISCOVERY,CONTINUATION,2025-05-27T13:45:00+00:00,2025-05-27T14:00:00+00:00,2025-05-27T14:00:00+00:00,4.86,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-06-17T14:00:00+00:00,GME
OPT-LONG-b4039de6eb1a6fe9,GME-PR-0018,O:GME250711C00024000,CALL,24.0,2025-07-11,14,0.0,DISCOVERY,CONTINUATION,2025-06-30T17:30:00+00:00,2025-06-30T17:45:00+00:00,2025-06-30T17:45:00+00:00,0.75,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-07-11T23:59:59.999999+00:00,GME
OPT-LONG-017dbda3fa130223,GME-PR-0018,O:GME250711P00024000,PUT,24.0,2025-07-11,14,0.0,DISCOVERY,CONTINUATION,2025-06-30T17:30:00+00:00,2025-06-30T17:45:00+00:00,2025-06-30T17:45:00+00:00,0.68,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-07-11T23:59:59.999999+00:00,GME
OPT-LONG-9f15a2d01b077253,GME-PR-0020,O:GME250829C00023000,CALL,23.0,2025-08-29,14,0.0,DISCOVERY,CONTINUATION,2025-08-13T19:00:00+00:00,2025-08-13T19:15:00+00:00,2025-08-13T19:15:00+00:00,0.75,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-08-29T23:59:59.999999+00:00,GME
OPT-LONG-ad0168418ff3f6a6,GME-PR-0021,O:GME250912C00022500,CALL,22.5,2025-09-12,14,0.0,DISCOVERY,ENTRY_FORMING,2025-08-29T18:15:00+00:00,2025-08-29T18:30:00+00:00,2025-08-29T18:30:00+00:00,1.43,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-09-12T23:59:59.999999+00:00,GME
OPT-LONG-e6e6537f4827c84f,GME-PR-0021,O:GME250912P00022500,PUT,22.5,2025-09-12,14,0.0,DISCOVERY,ENTRY_FORMING,2025-08-29T18:15:00+00:00,2025-08-29T18:30:00+00:00,2025-08-29T18:30:00+00:00,1.16,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-09-12T23:59:59.999999+00:00,GME
OPT-LONG-f45830647e4f86c5,GME-PR-0022,O:GME250919C00023500,CALL,23.5,2025-09-19,14,0.0,DISCOVERY,CONTINUATION,2025-09-03T13:45:00+00:00,2025-09-03T14:00:00+00:00,2025-09-03T14:00:00+00:00,1.58,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-09-19T23:59:59.999999+00:00,GME
OPT-LONG-52664e4d61e654ea,GME-PR-0023,O:GME251010C00027000,CALL,27.0,2025-10-10,14,0.0,DISCOVERY,ENTRY_FORMING,2025-09-24T13:30:00+00:00,2025-09-24T13:45:00+00:00,2025-09-24T13:45:00+00:00,1.15,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-10-10T23:59:59.999999+00:00,GME
OPT-LONG-1b08675fcd5acaab,GME-PR-0023,O:GME251010P00027000,PUT,27.0,2025-10-10,14,0.0,DISCOVERY,ENTRY_FORMING,2025-09-24T13:30:00+00:00,2025-09-24T13:45:00+00:00,2025-09-24T13:45:00+00:00,1.24,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-10-10T23:59:59.999999+00:00,GME
OPT-LONG-66ca33c1902a5d13,GME-PR-0025,O:GME251121P00022000,PUT,22.0,2025-11-21,14,0.0,DISCOVERY,ENTRY_FORMING,2025-11-05T19:45:00+00:00,2025-11-05T20:00:00+00:00,2025-11-05T20:00:00+00:00,0.89,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-11-21T23:59:59.999999+00:00,GME
OPT-LONG-038ebd4014f04da6,GME-PR-0027,O:GME260102C00023000,CALL,23.0,2026-01-02,14,0.0,DISCOVERY,CONTINUATION,2025-12-17T20:15:00+00:00,2025-12-17T20:30:00+00:00,2025-12-17T20:30:00+00:00,0.75,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-01-02T23:59:59.999999+00:00,GME
OPT-LONG-1d43a305348e2712,GME-PR-0027,O:GME260116C00023000,CALL,23.0,2026-01-16,30,0.0,DISCOVERY,CONTINUATION,2025-12-17T20:15:00+00:00,2025-12-17T20:30:00+00:00,2025-12-17T20:30:00+00:00,1.13,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-01-07T20:30:00+00:00,GME
OPT-LONG-bd65c358d7606d49,GME-PR-0027,O:GME260116P00023000,PUT,23.0,2026-01-16,30,0.0,DISCOVERY,CONTINUATION,2025-12-17T20:15:00+00:00,2025-12-17T20:30:00+00:00,2025-12-17T20:30:00+00:00,1.07,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-01-07T20:30:00+00:00,GME
OPT-LONG-cc8374c9f71216b0,GME-PR-0029,O:GME260213C00024000,CALL,24.0,2026-02-13,14,0.0,DISCOVERY,CONTINUATION,2026-01-27T16:00:00+00:00,2026-01-27T16:15:00+00:00,2026-01-27T16:15:00+00:00,1.27,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-13T23:59:59.999999+00:00,GME
OPT-LONG-c18b1325f316a4a7,GME-PR-0029,O:GME260227C00024000,CALL,24.0,2026-02-27,30,0.0,DISCOVERY,CONTINUATION,2026-01-27T16:00:00+00:00,2026-01-27T16:15:00+00:00,2026-01-27T16:15:00+00:00,1.64,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-17T16:15:00+00:00,GME
OPT-LONG-eaf2c40b153842ab,GME-PR-0029,O:GME260227P00024000,PUT,24.0,2026-02-27,30,0.0,DISCOVERY,CONTINUATION,2026-01-27T16:00:00+00:00,2026-01-27T16:15:00+00:00,2026-01-27T16:15:00+00:00,1.57,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-17T16:15:00+00:00,GME
OPT-LONG-6071f8587c28b070,GME-PR-0030,O:GME260213C00024000,CALL,24.0,2026-02-13,14,0.0,DISCOVERY,ENTRY_FORMING,2026-01-30T19:30:00+00:00,2026-01-30T19:45:00+00:00,2026-01-30T19:45:00+00:00,0.87,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-13T23:59:59.999999+00:00,GME
OPT-LONG-6d150f9daa2ed334,GME-PR-0030,O:GME260227C00024000,CALL,24.0,2026-02-27,30,0.0,DISCOVERY,ENTRY_FORMING,2026-01-30T19:30:00+00:00,2026-01-30T19:45:00+00:00,2026-01-30T19:45:00+00:00,1.25,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T19:45:00+00:00,GME
OPT-LONG-f293ef4d03ea987a,GME-PR-0031,O:GME260213C00025500,CALL,25.5,2026-02-13,14,0.0,HOLDOUT,CONTINUATION,2026-02-02T19:45:00+00:00,2026-02-02T20:00:00+00:00,2026-02-02T20:00:00+00:00,1.19,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-13T23:59:59.999999+00:00,GME
OPT-LONG-aefb65c28fcbd91e,GME-PR-0031,O:GME260213P00025500,PUT,25.5,2026-02-13,14,0.0,HOLDOUT,CONTINUATION,2026-02-02T19:45:00+00:00,2026-02-02T20:00:00+00:00,2026-02-02T20:00:00+00:00,1.04,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-13T23:59:59.999999+00:00,GME
OPT-LONG-a81595c624d6e40a,GME-PR-0031,O:GME260306C00025500,CALL,25.5,2026-03-06,30,0.0,HOLDOUT,CONTINUATION,2026-02-02T19:45:00+00:00,2026-02-02T20:00:00+00:00,2026-02-02T20:00:00+00:00,1.95,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-23T20:00:00+00:00,GME
OPT-LONG-a9a454c6e40c120a,GME-PR-0032,O:GME260220C00024500,CALL,24.5,2026-02-20,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-04T14:45:00+00:00,2026-02-04T15:00:00+00:00,2026-02-04T15:00:00+00:00,1.16,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T23:59:59.999999+00:00,GME
OPT-LONG-511525428c9e08cb,GME-PR-0033,O:GME260313C00024000,CALL,24.0,2026-03-13,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-25T20:15:00+00:00,2026-02-25T20:30:00+00:00,2026-02-25T20:30:00+00:00,0.98,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-03-13T23:59:59.999999+00:00,GME
OPT-LONG-54ed56daa6039589,GME-PR-0033,O:GME260313P00024000,PUT,24.0,2026-03-13,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-25T20:15:00+00:00,2026-02-25T20:30:00+00:00,2026-02-25T20:30:00+00:00,0.73,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-03-13T23:59:59.999999+00:00,GME
OPT-LONG-7366104bc029eae6,GME-PR-0034,O:GME260320C00024000,CALL,24.0,2026-03-20,14,0.0,HOLDOUT,CONTINUATION,2026-03-06T20:15:00+00:00,2026-03-06T20:30:00+00:00,2026-03-06T20:30:00+00:00,0.92,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-03-20T23:59:59.999999+00:00,GME
OPT-LONG-1b207d2960677374,GME-PR-0034,O:GME260320P00024000,PUT,24.0,2026-03-20,14,0.0,HOLDOUT,CONTINUATION,2026-03-06T20:15:00+00:00,2026-03-06T20:30:00+00:00,2026-03-06T20:30:00+00:00,0.8,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-03-20T23:59:59.999999+00:00,GME
OPT-LONG-2cf49459d3551416,GME-PR-0037,O:GME260424C00023500,CALL,23.5,2026-04-24,14,0.0,HOLDOUT,CONTINUATION,2026-04-09T16:00:00+00:00,2026-04-09T16:15:00+00:00,2026-04-09T16:15:00+00:00,0.52,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-04-24T23:59:59.999999+00:00,GME
OPT-LONG-29b3c0ff4bf244fa,GME-PR-0038,O:GME260508C00025500,CALL,25.5,2026-05-08,14,0.0,HOLDOUT,CONTINUATION,2026-04-22T19:30:00+00:00,2026-04-22T19:45:00+00:00,2026-04-22T19:45:00+00:00,0.92,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-05-08T23:59:59.999999+00:00,GME
OPT-LONG-09e7202a498da451,GME-PR-0039,O:GME260605C00024500,CALL,24.5,2026-06-05,30,0.0,HOLDOUT,ENTRY_FORMING,2026-05-05T19:30:00+00:00,2026-05-05T19:45:00+00:00,2026-05-05T19:45:00+00:00,1.45,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-05-26T19:45:00+00:00,GME
OPT-LONG-d5075c52d9119ef2,GME-PR-0041,O:GME260612C00022000,CALL,22.0,2026-06-12,14,0.0,HOLDOUT,CONTINUATION,2026-05-26T14:00:00+00:00,2026-05-26T14:15:00+00:00,2026-05-26T14:15:00+00:00,1.05,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-06-12T23:59:59.999999+00:00,GME
OPT-LONG-6c24d5f901a5c29a,GME-PR-0043,O:GME260717C00023000,CALL,23.0,2026-07-17,14,0.0,HOLDOUT,CONTINUATION,2026-07-02T19:30:00+00:00,2026-07-02T19:45:00+00:00,2026-07-02T19:45:00+00:00,0.5,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-07-17T23:59:59.999999+00:00,GME
OPT-LONG-5de882028f637b98,GME-PR-0043,O:GME260717P00023000,PUT,23.0,2026-07-17,14,0.0,HOLDOUT,CONTINUATION,2026-07-02T19:30:00+00:00,2026-07-02T19:45:00+00:00,2026-07-02T19:45:00+00:00,0.71,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-07-17T23:59:59.999999+00:00,GME
OPT-LONG-e7b254738ef211f3,GME-PR-0043,O:GME260731C00023000,CALL,23.0,2026-07-31,30,0.0,HOLDOUT,CONTINUATION,2026-07-02T19:30:00+00:00,2026-07-02T19:45:00+00:00,2026-07-02T19:45:00+00:00,0.85,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-07-23T19:45:00+00:00,GME
OPT-LONG-d50c5e4a302ce916,GME-PR-0044,O:GME260731C00022000,CALL,22.0,2026-07-31,14,0.0,HOLDOUT,ENTRY_FORMING,2026-07-20T18:00:00+00:00,2026-07-20T18:15:00+00:00,2026-07-20T18:15:00+00:00,0.4,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-07-31T23:59:59.999999+00:00,GME
OPT-LONG-dffc5479c7ac5c9f,GME-PR-0044,O:GME260821C00022000,CALL,22.0,2026-08-21,30,0.0,HOLDOUT,ENTRY_FORMING,2026-07-20T18:00:00+00:00,2026-07-20T18:15:00+00:00,2026-07-20T18:15:00+00:00,0.91,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-10T18:15:00+00:00,GME
OPT-LONG-6a69f47a3eed5680,GME-PR-0046,O:GME260821C00019000,CALL,19.0,2026-08-21,14,0.0,HOLDOUT,ENTRY_FORMING,2026-08-10T13:45:00+00:00,2026-08-10T14:00:00+00:00,2026-08-10T14:00:00+00:00,0.5,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-21T23:59:59.999999+00:00,GME
OPT-LONG-1057ff5255b10882,GME-PR-0046,O:GME260821P00019000,PUT,19.0,2026-08-21,14,0.0,HOLDOUT,ENTRY_FORMING,2026-08-10T13:45:00+00:00,2026-08-10T14:00:00+00:00,2026-08-10T14:00:00+00:00,0.3,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-21T23:59:59.999999+00:00,GME
OPT-LONG-6f5c23e04b8c483d,GME-PR-0046,O:GME260911C00019000,CALL,19.0,2026-09-11,30,0.0,HOLDOUT,ENTRY_FORMING,2026-08-10T13:45:00+00:00,2026-08-10T14:00:00+00:00,2026-08-10T14:00:00+00:00,1.29,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-31T14:00:00+00:00,GME
OPT-LONG-97cd94536dee1cb3,GME-PR-0046,O:GME260911P00019000,PUT,19.0,2026-09-11,30,0.0,HOLDOUT,ENTRY_FORMING,2026-08-10T13:45:00+00:00,2026-08-10T14:00:00+00:00,2026-08-10T14:00:00+00:00,0.61,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-31T14:00:00+00:00,GME
OPT-LONG-32b213498197cef1,LULU-PR-0001,O:LULU240906C00267500,CALL,267.5,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23T13:45:00+00:00,14.98,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-06T23:59:59.999999+00:00,LULU
OPT-LONG-a15e0f42fc4ae1c1,LULU-PR-0001,O:LULU240920P00267500,PUT,267.5,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23T13:45:00+00:00,16.5,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-13T13:45:00+00:00,LULU
OPT-LONG-513480b7dc9bf367,LULU-PR-0004,O:LULU241115C00305000,CALL,305.0,2024-11-15,14,0.0,DISCOVERY,CONTINUATION,2024-10-29T17:45:00+00:00,2024-10-29T18:00:00+00:00,2024-10-29T18:00:00+00:00,11.45,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-11-15T23:59:59.999999+00:00,LULU
OPT-LONG-055ace7c3cef0991,LULU-PR-0006,O:LULU241220C00342500,CALL,342.5,2024-12-20,14,0.0,DISCOVERY,CONTINUATION,2024-12-05T17:45:00+00:00,2024-12-05T18:00:00+00:00,2024-12-05T18:00:00+00:00,19.38,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-12-20T23:59:59.999999+00:00,LULU
OPT-LONG-176bb87506099366,LULU-PR-0007,O:LULU250117P00380000,PUT,380.0,2025-01-17,30,0.0,DISCOVERY,ENTRY_FORMING,2024-12-20T20:30:00+00:00,2024-12-20T20:45:00+00:00,2024-12-20T20:45:00+00:00,14.3,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-01-10T20:45:00+00:00,LULU
OPT-LONG-e86cebabcff7d1e0,LULU-PR-0009,O:LULU250221C00415000,CALL,415.0,2025-02-21,14,0.0,DISCOVERY,ENTRY_FORMING,2025-02-04T14:30:00+00:00,2025-02-04T14:45:00+00:00,2025-02-04T14:45:00+00:00,10.99,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-02-21T23:59:59.999999+00:00,LULU
OPT-LONG-11a94e160cc3ca19,LULU-PR-0018,O:LULU250808C00225000,CALL,225.0,2025-08-08,14,0.0,DISCOVERY,ENTRY_FORMING,2025-07-23T14:15:00+00:00,2025-07-23T14:30:00+00:00,2025-07-23T14:30:00+00:00,7.3,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-08-08T23:59:59.999999+00:00,LULU
OPT-LONG-2bfe71e96bed4072,LULU-PR-0018,O:LULU250822P00225000,PUT,225.0,2025-08-22,30,0.0,DISCOVERY,ENTRY_FORMING,2025-07-23T14:15:00+00:00,2025-07-23T14:30:00+00:00,2025-07-23T14:30:00+00:00,8.75,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-08-13T14:30:00+00:00,LULU
