anchor_id,symbol,ticker,contract_type,dte_target,reason
SPY-0012,SPY,O:SPY250213C00606000,CALL,14,insufficient matched history
VALE-0011,VALE,O:VALE250307C00009500,CALL,14,signal option bar absent
LULU-0011,LULU,O:LULU250307C00365000,CALL,14,signal option bar absent
LULU-0012,LULU,O:LULU250307C00365000,CALL,14,insufficient matched history
LULU-0012,LULU,O:LULU250307C00365000,CALL,14,sparse option activity
PYPL-0014,PYPL,O:PYPL250321C00068000,CALL,14,signal option bar absent
SPY-0013,SPY,O:SPY250325C00559000,CALL,14,insufficient matched history
PYPL-0015,PYPL,O:PYPL250404C00071000,CALL,14,signal option bar absent
RBLX-0013,RBLX,O:RBLX250404C00059000,CALL,14,signal option bar absent
TSLA-0014,TSLA,O:TSLA250411C00282500,CALL,14,insufficient matched history
TSLA-0014,TSLA,O:TSLA250411C00282500,CALL,14,sparse option activity
TSLA-0014,TSLA,O:TSLA250411C00282500,CALL,14,zero or insufficient underlying variance
TSLA-0015,TSLA,O:TSLA250411C00272500,CALL,14,insufficient matched history
TSLA-0015,TSLA,O:TSLA250411C00272500,CALL,14,sparse option activity
GME-0014,GME,O:GME250425C00024500,CALL,14,signal option bar absent
U-0013,U,O:U250425C00017500,CALL,14,signal option bar absent
LULU-0014,LULU,O:LULU250425C00285000,CALL,14,signal option bar absent
RBLX-0014,RBLX,O:RBLX250502C00059000,CALL,14,signal option bar absent
VALE-0012,VALE,O:VALE250502C00009000,CALL,14,signal option bar absent
VALE-0013,VALE,O:VALE250509C00009500,CALL,14,signal option bar absent
RBLX-0015,RBLX,O:RBLX250509C00064000,CALL,14,signal option bar absent
U-0015,U,O:U250509C00021500,CALL,14,signal option bar absent
LULU-0015,LULU,O:LULU250509C00267500,CALL,14,signal option bar absent
VALE-0014,VALE,O:VALE250509C00009500,CALL,14,signal option bar absent
U-0016,U,O:U250509C00022000,CALL,14,signal option bar absent
RBLX-0016,RBLX,O:RBLX250509C00066000,CALL,14,signal option bar absent
LULU-0016,LULU,O:LULU250516C00275000,CALL,14,signal option bar absent
PYPL-0018,PYPL,O:PYPL250613C00071000,CALL,14,signal option bar absent
RBLX-0017,RBLX,O:RBLX250620C00090000,CALL,14,signal option bar absent
VALE-0016,VALE,O:VALE250711C00009000,CALL,14,signal option bar absent
VALE-0017,VALE,O:VALE250711C00009000,CALL,14,signal option bar absent
U-0017,U,O:U250711C00024000,CALL,14,signal option bar absent
LULU-0018,LULU,O:LULU250711C00230000,CALL,14,signal option bar absent
RBLX-0020,RBLX,O:RBLX250801C00118000,CALL,14,insufficient matched history
RBLX-0020,RBLX,O:RBLX250801C00118000,CALL,14,sparse option activity
PYPL-0021,PYPL,O:PYPL250801C00074000,CALL,14,signal option bar absent
RBLX-0021,RBLX,O:RBLX250808C00119000,CALL,14,signal option bar absent
RBLX-0022,RBLX,O:RBLX250808C00119000,CALL,14,signal option bar absent
VALE-0019,VALE,O:VALE250822C00010000,CALL,14,signal option bar absent
PYPL-0023,PYPL,O:PYPL250822C00067000,CALL,14,signal option bar absent
U-0021,U,O:U250829C00036500,CALL,14,insufficient matched history
U-0021,U,O:U250829C00036500,CALL,14,sparse option activity
U-0021,U,O:U250829C00036500,CALL,14,zero or insufficient underlying variance
PYPL-0024,PYPL,O:PYPL250829C00069000,CALL,14,signal option bar absent
VALE-0020,VALE,O:VALE250912C00010000,CALL,14,signal option bar absent
VALE-0021,VALE,O:VALE250912C00010500,CALL,14,signal option bar absent
LULU-0022,LULU,O:LULU250912C00202500,CALL,14,signal option bar absent
U-0023,U,O:U250926C00046000,CALL,14,signal option bar absent
U-0024,U,O:U251003C00045500,CALL,14,insufficient matched history
U-0024,U,O:U251003C00045500,CALL,14,sparse option activity
VALE-0022,VALE,O:VALE251003C00011000,CALL,14,signal option bar absent
VALE-0023,VALE,O:VALE251003C00011000,CALL,14,signal option bar absent
RBLX-0025,RBLX,O:RBLX251010C00134000,CALL,14,signal option bar absent
PYPL-0027,PYPL,O:PYPL251107C00069000,CALL,14,signal option bar absent
SPY-0027,SPY,O:SPY251110C00685000,CALL,14,insufficient matched history
SPY-0027,SPY,O:SPY251110C00685000,CALL,14,sparse option activity
SPY-0027,SPY,O:SPY251110C00685000,CALL,14,zero or insufficient underlying variance
VALE-0024,VALE,O:VALE251114C00011500,CALL,14,insufficient matched history
RBLX-0027,RBLX,O:RBLX251121C00106000,CALL,14,signal option bar absent
RBLX-0028,RBLX,O:RBLX251128C00101000,CALL,14,signal option bar absent
GME-0026,GME,O:GME251128C00021000,CALL,14,signal option bar absent
VALE-0025,VALE,O:VALE251128C00012500,CALL,14,signal option bar absent
LULU-0026,LULU,O:LULU251205C00165000,CALL,14,signal option bar absent
LULU-0027,LULU,O:LULU251205C00170000,CALL,14,signal option bar absent
VALE-0026,VALE,O:VALE251212C00012500,CALL,14,signal option bar absent
LULU-0028,LULU,O:LULU251219C00182500,CALL,14,signal option bar absent
U-0028,U,O:U251219C00044000,CALL,14,signal option bar absent
VALE-0027,VALE,O:VALE251226C00013500,CALL,14,signal option bar absent
U-0029,U,O:U260109C00046500,CALL,14,insufficient matched history
U-0029,U,O:U260109C00046500,CALL,14,sparse option activity
U-0029,U,O:U260109C00046500,CALL,14,zero or insufficient underlying variance
VALE-0028,VALE,O:VALE260116C00013500,CALL,14,signal option bar absent
RBLX-0029,RBLX,O:RBLX260130C00088000,CALL,14,signal option bar absent
U-0030,U,O:U260206C00042500,CALL,14,signal option bar absent
LULU-0031,LULU,O:LULU260206C00192500,CALL,14,signal option bar absent
U-0031,U,O:U260206C00043500,CALL,14,signal option bar absent
U-0032,U,O:U260213C00042000,CALL,14,signal option bar absent
SPY-0030,SPY,O:SPY260210C00695000,CALL,14,signal option bar absent
SPY-0031,SPY,O:SPY260211C00695000,CALL,14,insufficient matched history
SPY-0031,SPY,O:SPY260211C00695000,CALL,14,sparse option activity
SPY-0031,SPY,O:SPY260211C00695000,CALL,14,zero or insufficient underlying variance
TSLA-0031,TSLA,O:TSLA260211C00437500,CALL,14,insufficient matched history
TSLA-0031,TSLA,O:TSLA260211C00437500,CALL,14,sparse option activity
TSLA-0031,TSLA,O:TSLA260211C00437500,CALL,14,zero or insufficient underlying variance
GME-0031,GME,O:GME260213C00023500,CALL,14,signal option bar absent
VALE-0029,VALE,O:VALE260213C00016500,CALL,14,signal option bar absent
VALE-0030,VALE,O:VALE260213C00017000,CALL,14,signal option bar absent
RBLX-0031,RBLX,O:RBLX260213C00075000,CALL,14,signal option bar absent
RBLX-0032,RBLX,O:RBLX260213C00067000,CALL,14,insufficient matched history
RBLX-0032,RBLX,O:RBLX260213C00067000,CALL,14,sparse option activity
VALE-0032,VALE,O:VALE260213C00016500,CALL,14,signal option bar absent
RBLX-0033,RBLX,O:RBLX260213C00069000,CALL,14,insufficient matched history
RBLX-0034,RBLX,O:RBLX260213C00068000,CALL,14,signal option bar absent
LULU-0033,LULU,O:LULU260213C00177500,CALL,14,signal option bar absent
SPY-0034,SPY,O:SPY260217C00690000,CALL,14,insufficient matched history
SPY-0034,SPY,O:SPY260217C00690000,CALL,14,sparse option activity
SPY-0034,SPY,O:SPY260217C00690000,CALL,14,zero or insufficient underlying variance
VALE-0034,VALE,O:VALE260220C00017000,CALL,14,signal option bar absent
LULU-0035,LULU,O:LULU260220C00175000,CALL,14,signal option bar absent
TSLA-0034,TSLA,O:TSLA260218C00405000,CALL,14,insufficient matched history
TSLA-0034,TSLA,O:TSLA260218C00405000,CALL,14,sparse option activity
RBLX-0035,RBLX,O:RBLX260220C00065000,CALL,14,signal option bar absent
RBLX-0036,RBLX,O:RBLX260220C00072000,CALL,14,insufficient matched history
RBLX-0036,RBLX,O:RBLX260220C00072000,CALL,14,sparse option activity
RBLX-0036,RBLX,O:RBLX260220C00072000,CALL,14,zero or insufficient underlying variance
LULU-0036,LULU,O:LULU260227C00185000,CALL,14,signal option bar absent
U-0034,U,O:U260227C00028500,CALL,14,signal option bar absent
U-0035,U,O:U260227C00021000,CALL,14,insufficient matched history
U-0035,U,O:U260227C00021000,CALL,14,sparse option activity
PYPL-0035,PYPL,O:PYPL260306C00042000,CALL,14,signal option bar absent
SPY-0036,SPY,O:SPY260311C00690000,CALL,14,insufficient matched history
SPY-0036,SPY,O:SPY260311C00690000,CALL,14,sparse option activity
SPY-0036,SPY,O:SPY260311C00690000,CALL,14,zero or insufficient underlying variance
U-0036,U,O:U260313C00019500,CALL,14,signal option bar absent
LULU-0037,LULU,O:LULU260402C00162500,CALL,14,signal option bar absent
U-0037,U,O:U260410C00017500,CALL,14,signal option bar absent
RBLX-0037,RBLX,O:RBLX260410C00057000,CALL,14,signal option bar absent
RBLX-0038,RBLX,O:RBLX260410C00055000,CALL,14,signal option bar absent
PYPL-0037,PYPL,O:PYPL260410C00045000,CALL,14,signal option bar absent
RBLX-0039,RBLX,O:RBLX260417C00057000,CALL,14,signal option bar absent
LULU-0039,LULU,O:LULU260417C00155000,CALL,14,signal option bar absent
VALE-0038,VALE,O:VALE260424C00016000,CALL,14,signal option bar absent
PYPL-0039,PYPL,O:PYPL260424C00045500,CALL,14,signal option bar absent
U-0038,U,O:U260424C00021500,CALL,14,signal option bar absent
U-0039,U,O:U260501C00026000,CALL,14,signal option bar absent
U-0040,U,O:U260508C00026000,CALL,14,signal option bar absent
SPY-0041,SPY,O:SPY260520C00730000,CALL,14,insufficient matched history
SPY-0041,SPY,O:SPY260520C00730000,CALL,14,sparse option activity
SPY-0041,SPY,O:SPY260520C00730000,CALL,14,zero or insufficient underlying variance
LULU-0040,LULU,O:LULU260605C00120000,CALL,14,signal option bar absent
PYPL-0041,PYPL,O:PYPL260605C00044500,CALL,14,insufficient matched history
RBLX-0042,RBLX,O:RBLX260605C00048000,CALL,14,signal option bar absent
LULU-0041,LULU,O:LULU260612C00133000,CALL,14,signal option bar absent
TSLA-0042,TSLA,O:TSLA260610C00442500,CALL,14,insufficient matched history
TSLA-0042,TSLA,O:TSLA260610C00442500,CALL,14,sparse option activity
VALE-0041,VALE,O:VALE260612C00016500,CALL,14,signal option bar absent
U-0041,U,O:U260612C00032500,CALL,14,signal option bar absent
VALE-0042,VALE,O:VALE260618C00017000,CALL,14,signal option bar absent
SPY-0043,SPY,O:SPY260623C00745000,CALL,14,insufficient matched history
SPY-0043,SPY,O:SPY260623C00745000,CALL,14,sparse option activity
SPY-0043,SPY,O:SPY260623C00745000,CALL,14,zero or insufficient underlying variance
TSLA-0044,TSLA,O:TSLA260622C00395000,CALL,14,insufficient matched history
TSLA-0044,TSLA,O:TSLA260622C00395000,CALL,14,sparse option activity
SPY-0044,SPY,O:SPY260623C00730000,CALL,14,insufficient matched history
SPY-0044,SPY,O:SPY260623C00730000,CALL,14,sparse option activity
VALE-0043,VALE,O:VALE260626C00015000,CALL,14,signal option bar absent
LULU-0043,LULU,O:LULU260710C00113000,CALL,14,signal option bar absent
VALE-0044,VALE,O:VALE260710C00015000,CALL,14,signal option bar absent
RBLX-0045,RBLX,O:RBLX260717C00058000,CALL,14,signal option bar absent
VALE-0045,VALE,O:VALE260807C00015000,CALL,14,signal option bar absent
VALE-0046,VALE,O:VALE260814C00015000,CALL,14,signal option bar absent
U-0045,U,O:U260814C00031500,CALL,14,signal option bar absent
RBLX-0047,RBLX,O:RBLX260821C00038000,CALL,14,signal option bar absent
TSLA-0046,TSLA,O:TSLA260819C00317500,CALL,14,insufficient matched history
TSLA-0046,TSLA,O:TSLA260819C00317500,CALL,14,sparse option activity
LULU-0045,LULU,O:LULU260821C00128000,CALL,14,signal option bar absent
U-0047,U,O:U260821C00042500,CALL,14,signal option bar absent
VALE-0047,VALE,O:VALE260821C00015000,CALL,14,signal option bar absent
LULU-0047,LULU,O:LULU260828C00125000,CALL,14,signal option bar absent
VALE-0048,VALE,O:VALE260828C00014500,CALL,14,signal option bar absent
LULU-0048,LULU,O:LULU260828C00126000,CALL,14,signal option bar absent
PYPL-0048,PYPL,O:PYPL260828C00059000,CALL,14,signal option bar absent
U-0048,U,O:U260828C00043500,CALL,14,signal option bar absent
